E [keV] 	 mu/rho (tissue)    	 mu/rho (bone)      	 mu/rho (water) 
1.0  	 3711.117964784175 	 3780.059864787024 	 4076.455608862746 
2.0  	 559.6189231713873 	 586.8533057559541 	 617.2579969881228 
3.0  	 183.59429622148582 	 295.7468818886166 	 192.8147264481889 
4.0  	 81.60235160342263 	 133.0967841700724 	 82.76355662136407 
5.0  	 42.241876407455145 	 191.64947561493005 	 42.586306606549996 
6.0  	 24.560438964733166 	 117.13855414387635 	 24.638002808947626 
7.0  	 15.50663117751693 	 76.90044416142231 	 15.493098825197151 
8.0  	 10.41527702014485 	 53.228270527184435 	 10.371518711546493 
9.0  	 7.341177910517837 	 38.33599838955712 	 7.289900451496499 
10.0  	 5.379400907979143 	 28.513764684136774 	 5.329170105448233 
11.0  	 4.0706565009867 	 21.78581114569475 	 4.024540611751017 
12.0  	 3.1661644656849375 	 17.026074239382122 	 3.1251160363503887 
13.0  	 2.5220730178437676 	 13.565050665774146 	 2.4861108039070254 
14.0  	 2.0513394799230715 	 10.98861164367095 	 2.020072350916239 
15.0  	 1.6993997454751013 	 9.031351594826095 	 1.6722858544310053 
16.0  	 1.4310201117506876 	 7.517967123104442 	 1.4075047499891675 
17.0  	 1.2229130141717404 	 6.329671049493623 	 1.202514407824914 
18.0  	 1.0591379856903833 	 5.383825360526677 	 1.0414397944199358 
19.0  	 0.9285233843864418 	 4.621710766478979 	 0.9131610792623286 
20.0  	 0.8230985579881615 	 4.0008462189426055 	 0.8097519559426519 
21.0  	 0.7370668388608421 	 3.490014407077987 	 0.7254557446718951 
22.0  	 0.666112604437457 	 3.0659703190421737 	 0.6559960352082647 
23.0  	 0.6070218148066225 	 2.711105690154369 	 0.5981943994142711 
24.0  	 0.5573781138171949 	 2.411909258706692 	 0.5496655431574816 
25.0  	 0.5153404449975412 	 2.157902465745832 	 0.508595185249096 
26.0  	 0.4794888286260357 	 1.9408782231429336 	 0.4735862458637701 
27.0  	 0.44871568181156063 	 1.7543494201999645 	 0.44355063165855574 
28.0  	 0.42214809703146344 	 1.5931446000538578 	 0.4176319767165488 
29.0  	 0.399091500819583 	 1.453108235340688 	 0.39514973113308277 
30.0  	 0.3789882950814638 	 1.3308762391733298 	 0.37555818642144756 
31.0  	 0.3613817189046168 	 1.2237064210476036 	 0.3584097799120445 
32.0  	 0.3458804004571409 	 1.1293482518069906 	 0.34331800185275857 
33.0  	 0.3321621646013489 	 1.0459409950378196 	 0.32996506178225127 
34.0  	 0.3199640227429004 	 0.9719372577949391 	 0.31809254331206094 
35.0  	 0.3090696186589037 	 0.9060435269299334 	 0.3074885759284149 
36.0  	 0.2992996646903516 	 0.8471731788830105 	 0.29797811786008493 
37.0  	 0.2905045837899585 	 0.7944091104432505 	 0.28941552010564414 
38.0  	 0.28255879638786846 	 0.7469738418786775 	 0.28167878168245475 
39.0  	 0.275356246144044 	 0.7042054617669209 	 0.27466507174812843 
40.0  	 0.2688068676635395 	 0.6655381671024474 	 0.2682872099528718 
41.0  	 0.26283347100605614 	 0.6304869140222475 	 0.26247039149352724 
42.0  	 0.2573687220045082 	 0.5986354993417456 	 0.257148729030128 
43.0  	 0.2523544564320715 	 0.5696239719934566 	 0.25226525151091506 
44.0  	 0.24774046310795897 	 0.5431396048994457 	 0.2477708724152068 
45.0  	 0.24348321061971984 	 0.5189098814356752 	 0.24362310689863936 
46.0  	 0.23954480600855454 	 0.49669663679852055 	 0.2397850268370289 
47.0  	 0.23589213838230486 	 0.4762911465548023 	 0.2362244046538532 
48.0  	 0.23249617087030466 	 0.45750999501462175 	 0.23291300791949837 
49.0  	 0.22933135227027351 	 0.44019158802459046 	 0.2298260150988649 
50.0  	 0.22637512580841374 	 0.4241932001983014 	 0.22694152920865063 
51.0  	 0.2236075716996279 	 0.4093884540013911 	 0.22424020985724466 
52.0  	 0.22101120715317132 	 0.39566516378595573 	 0.22170503480237055 
53.0  	 0.21857050322062818 	 0.3829235751506108 	 0.2193208751134384 
54.0  	 0.21627158316657225 	 0.37107480445734087 	 0.21707421431603152 
55.0  	 0.21410201565659048 	 0.3600394835225444 	 0.2149529453956616 
56.0  	 0.21205063770639207 	 0.3497465933402383 	 0.21294619728380346 
57.0  	 0.21010740258563848 	 0.34013245783112456 	 0.2110441860110102 
58.0  	 0.20826324872613847 	 0.3311398734476829 	 0.20923808658013882 
59.0  	 0.20650998637408044 	 0.3227173544339887 	 0.2075199223104307 
60.0  	 0.20484019928469346 	 0.3148184768057871 	 0.20588246896645446 
61.0  	 0.2032472577818162 	 0.30740125395703 	 0.20431928809653382 
62.0  	 0.20172551581396822 	 0.3004275146910226 	 0.20282497430998167 
63.0  	 0.20026991172123954 	 0.29386267673965977 	 0.2013946943639594 
64.0  	 0.19887581390957854 	 0.28767540543042697 	 0.20002401733957612 
65.0  	 0.1975389774515112 	 0.2818372598621346 	 0.19870887488162406 
66.0  	 0.19625550576819986 	 0.27632238269437837 	 0.1974455260027356 
67.0  	 0.1950218167192791 	 0.27110722757936995 	 0.1962305258580921 
68.0  	 0.19383461252610568 	 0.26617031916059597 	 0.1950606979827388 
69.0  	 0.19269085303725758 	 0.261492041312862 	 0.1939331095558564 
70.0  	 0.19158773191510806 	 0.25705444992816867 	 0.1928450493173512 
